Time,VehicleCount
0,726
1,726
2,726
3,726
4,726
5,726
6,726
7,726
8,726
9,726
10,726
11,726
12,726
13,726
14,726
15,726
16,726
17,726
18,726
19,726
20,726
21,726
22,726
23,726
24,726
25,726
26,726
27,726
28,726
29,726
30,726
31,726
32,726
33,726
34,726
35,726
36,726
37,727
38,727
39,727
40,727
41,727
42,727
43,727
44,727
45,727
46,727
47,727
48,727
49,727
50,727
51,727
52,727
53,727
54,727
55,727
56,727
57,727
58,727
59,727
60,727
61,727
62,727
63,727
64,727
65,727
66,727
67,727
68,727
69,727
70,727
71,727
72,727
73,727
74,727
75,727
76,727
77,727
78,728
79,728
80,728
81,728
82,728
83,728
84,728
85,728
86,728
87,728
88,728
89,728
90,728
91,728
92,728
93,728
94,728
95,728
96,728
97,728
98,728
99,728
100,728
101,728
102,728
103,728
104,728
105,728
106,728
107,728
108,728
109,728
110,728
111,728
112,728
113,728
114,728
115,728
116,728
117,728
118,728
119,729
120,729
121,729
122,729
123,729
124,729
125,729
126,729
127,729
128,729
129,729
130,729
131,729
132,729
133,729
134,729
135,729
136,729
137,729
138,729
139,729
140,729
141,729
142,729
143,729
144,729
145,729
146,729
147,729
148,729
149,729
150,729
151,729
152,729
153,729
154,729
155,729
156,729
157,729
158,729
159,729
160,730
161,730
162,730
163,730
164,730
165,730
166,730
167,730
168,730
169,730
170,730
171,730
172,730
173,730
174,730
175,730
176,730
177,730
178,730
179,730
180,730
181,730
182,730
183,730
184,730
185,730
186,730
187,730
188,730
189,730
190,730
191,730
192,730
193,730
194,730
195,730
196,730
197,730
198,730
199,730
